name,lat,lon
Nuniadihi,,
Niasa,,
Panjan Pahari,,
Sarengafulberia,,
Panpukuria,,
Noadihi,,
Kanudihi,,
Shirpuranam,,
Balrampur,,
Kalakuri,,
Nabagram,,
Baguliya,,
Tiluri,,
Bhaluka,,
Binodpur,,
Bhadaspur,,
Bhadaspur Khas,,
Udaypur,,
Kashihir,,
Paharpur,,
Bardubi,,
Lakshankata,,
Maldihi,,
Chhatinbaid,,
Mahisharadi,,
Itura,,
Shirpuraupar,,
Bhratpur,,
Chak Baga,,
Paharbera,,
Dighit,,
Shalbeda,,
Tentularakh,,
Saburbandh,,
Kesharkundi,,
Rajapura,,
Krishnapur,,
Iswarda,,
Narayanpur,,
Bamantora,,
Kujkuria,,
Anandapur,,
Bagjata,,
Kukhrakuri,,
Kalla,,
Chandbad,,
Chaukhuri,,
Singhir,,
Majidh,,
Jupuliya,,
Bakuliya,,
Sahebdangga,,
Gopalnagar,,
Shalchur,,
Salma,,
Dahuka,,
Kamalhir,,
Kastora,,
Rangamatia,,
Bhubanabandi,,
Kendana,,
Swatwakuri,,
Harkabaid,,
Bhanggucha,,
Ialambazar,,
Badshal,,
Rautara,,
Kechka,,
Hiderban,,
Pagarbari,,
Behari,,
Biharinath Parbbat,,
Chandipur,,
Matukbani,,
Chuyaberiya,,
Beltikuri,,
Dubrajpur,,
Ranipur,,
Bhurakondathol,,
Mohnapada,,
Sarpahari,,
Siakuldoba,,
Tedipahadi,,
Gonsahadihi,,
Lalitakuri,,
Ranjitpur,,
Pabaya,,
Dhekiya,,
Dulaltoda,,
Tentultikuri,,
Satdedli,,
Ramjibanpur,,
Pabra,,
Chakmushuliya,,
Chak Paruri,,
Thanadumur,,
Beriathol,,
Patdoha,,
Niamatpur,,
Bishjod,,
Goradihi,,
Pathardihi,,
Krishnapur,,
Digtore,,
Bamnishala,,
Khadabna,,
Simladihi,,
Baghadabar,,
Jaburbna,,
Fatepur,,
Amjod,,
Murlu,,
Shiarbediya,,
Jhanka,,
Ledapalash,,
Sebapur,,
Mauchuriya,,
Shyampur,,
Telidihi,,
Binoddihi,,
Dhatla,,
Banshakedhiya,,
Raghunathchawk,,
Rampur,,
Chhatapathar,,
Khagra,,
Pirrabaid,,
Aluniya,,
Shalroha,,
Belekuri,,
Nimra,,
Demramol,,
Kantabaid,,
Shukabaid,,
Damodrpur,,
Ranipur,,
Manipur,,
Tilabaid,,
Majurakundi,,
Rajabandh,,
Maulahid,,
Belebaid,,
Kanuri,,
gote,,
Chaubadha,,
Gogra,,
Latulia,,
Lechheda,,
Adhuri,,
Jadabpur,,
Haroka,,
Madhabpur,,
Kultuka,,
Murgadoba,,
Bojapathar,,
Bhodadi,,
Barkona,,
Laxmanpur,,
Dhapali,,
Khadhamara,,
Karkdha,,
Netkamla,,
Chandra,,
Bhara,,
Kalidaspur,,
Kalikapur,,
Benakanali,,
Bhului,,
Arddhagram,,
Gopalpur,,
Shyamapur,,
Parbbatipur,,
Jemua,,
Kshiraitore,,
Ghusra,,
Jot Shriram,,
Jugibag,,
Mohana,,
Tegharia,,
Jorsa,,
Lakshmanbandi,,
Khaerbani,,
Dhandora,,
Kanshara,,
Duburia,,
Payrashol,,
Benabad,,
Kustor,,
Ramlalpur,,
Dhoba,,
Kanshai,,
Anandapur,,
Shyampur,,
Bhbanipur,,
Matabel,,
Chuaberia,,
Tarapur,,
Gopalganja,,
Mejia,,
Indara,,
Benathol,,
Maduarchak,,
Jujghati,,
Nabashan,,
Moshnekonda,,
Raydihi,,
Shaltora,,
Natshala,,
Sitarampur,,
Ranipur,,
Mukundapur,,
Benagarya,,
Ramkrishnapur,,
Parulia,,
Kendut,,
Palashi,,
Ikra,,
Jamkuri,,
Nandanpur,,
Mochrakend,,
Bharra,,
Telenda,,
Murra,,
Purunia,,
Balarampur,,
Damodormohan,,
Ramchandrapur,,
Debagram,,
Purbbator,,
Janakpur,,
Dighalgram,,
Japmali,,
Sarama,,
Jangpur,,
Banjora,,
Jalanpur,,
Asanbani,,
Kalipathar,,
Barshal,,
Kamalpur,,
Ratanpur,,
