0,1,2,3,4,5,6,7,8
250,94,,,5,9,12,2016-04-06 09:50:38.497411,2016-04-06 09:50:38.497411
253,94,,,6,9,12,2016-04-06 09:51:15.134976,2016-04-06 09:51:15.134976
251,94,,,5,8,8,2016-04-06 09:50:50.750516,2016-04-06 09:50:50.750516
255,94,,,6,7,4,2016-04-06 09:51:36.385955,2016-04-06 09:51:36.385955
256,201,,,4,9,24,2016-04-06 09:51:52.384151,2016-04-06 09:51:52.384151
257,201,,,4,8,16,2016-04-06 09:52:03.094171,2016-04-06 09:52:03.094171
258,201,,,4,7,8,2016-04-06 09:52:14.369317,2016-04-06 09:52:14.369317
259,201,,,5,9,12,2016-04-06 09:52:26.961208,2016-04-06 09:52:26.961208
260,201,,,5,8,8,2016-04-06 09:52:36.322422,2016-04-06 09:52:36.322422
261,201,,,5,7,4,2016-04-06 09:52:43.730227,2016-04-06 09:52:43.730227
262,201,,,6,9,12,2016-04-06 09:52:56.667439,2016-04-06 09:52:56.667439
263,201,,,6,8,8,2016-04-06 09:53:03.503715,2016-04-06 09:53:03.503715
264,201,,,6,7,4,2016-04-06 09:53:10.081381,2016-04-06 09:53:10.081381
265,116,,,4,9,12,2016-04-06 10:00:03.104746,2016-04-06 10:00:03.104746
266,116,,,4,8,8,2016-04-06 10:00:13.863663,2016-04-06 10:00:13.863663
267,116,,,4,7,4,2016-04-06 10:00:21.332155,2016-04-06 10:00:21.332155
268,116,,,5,9,16,2016-04-06 10:00:40.289490,2016-04-06 10:00:40.289490
269,116,,,5,8,12,2016-04-06 10:00:50.410125,2016-04-06 10:00:50.410125
270,116,,,5,7,8,2016-04-06 10:01:03.976119,2016-04-06 10:01:03.976119
271,116,,,6,9,24,2016-04-06 10:01:25.208446,2016-04-06 10:01:25.208446
272,116,,,6,8,20,2016-04-06 10:01:36.440570,2016-04-06 10:01:36.440570
273,116,,,6,7,16,2016-04-06 10:03:28.435039,2016-04-06 10:03:28.435039
274,90,,,4,9,12,2016-04-06 10:03:51.818537,2016-04-06 10:03:51.818537
275,90,,,4,8,8,2016-04-06 10:04:04.539996,2016-04-06 10:04:04.539996
276,90,,,4,7,4,2016-04-06 10:04:14.802737,2016-04-06 10:04:14.802737
277,90,,,5,9,16,2016-04-06 10:05:01.940102,2016-04-06 10:05:01.940102
278,90,,,5,8,12,2016-04-06 10:05:12.469396,2016-04-06 10:05:12.469396
279,90,,,5,7,8,2016-04-06 10:05:21.605703,2016-04-06 10:05:21.605703
280,90,,,6,9,24,2016-04-06 10:05:36.179889,2016-04-06 10:05:36.179889
281,90,,,6,8,20,2016-04-06 10:05:57.432467,2016-04-06 10:05:57.432467
282,90,,,6,7,16,2016-04-06 10:06:10.249118,2016-04-06 10:06:10.249118
283,166,,,4,9,56,2016-04-06 10:07:16.816282,2016-04-06 10:07:16.816282
284,166,,,4,8,48,2016-04-06 10:07:32.862423,2016-04-06 10:07:32.862423
285,166,,,4,7,40,2016-04-06 10:07:44.601433,2016-04-06 10:07:44.601433
286,166,,,5,9,28,2016-04-06 10:08:06.021825,2016-04-06 10:08:06.021825
287,166,,,5,8,24,2016-04-06 10:08:18.150059,2016-04-06 10:08:18.150059
288,166,,,5,7,20,2016-04-06 10:08:30.210140,2016-04-06 10:08:30.210140
289,166,,,6,9,28,2016-04-06 10:08:46.054742,2016-04-06 10:08:46.054742
290,166,,,6,8,24,2016-04-06 10:09:01.230534,2016-04-06 10:09:01.230534
291,166,,,6,7,20,2016-04-06 10:09:15.542985,2016-04-06 10:09:15.542985
292,112,,,4,9,56,2016-04-06 10:09:36.217530,2016-04-06 10:09:36.217530
293,112,,,4,8,48,2016-04-06 10:09:47.602575,2016-04-06 10:09:47.602575
