id,ph,ec,organic_carbon,nitrogen,phosphorus,potassium,sulpher,zinc,boron,iron,manganese,copper,test_id,created_at,updated_at,ph_rating,ec_rating,oc_rating,n_rating,p_rating,k_rating,s_rating,zn_rating,b_rating,fe_rating,mn_rating,cu_rating,mixed_fertilizer_rate_id,zn_rw_rating,user_id,shc_lang_version,distributed,soil_health_cards_count
685969,5.79,0.32,0.65,372.0,165.2,354.5,16.9,0.96,0.92,10.4,2.61,0.72,639438,2017-04-21 09:41:07.626965,2017-04-21 09:41:07.626965,2,5,8,8,7,7,7,10,10,10,10,10,1,10.0,2468.0,bn,1.0,1
685873,5.91,0.94,0.43,272.2,30.01,214.77,1.13,0.75,0.72,22.08,12.59,0.54,828898,2017-04-21 09:33:46.390931,2017-04-21 09:33:46.390931,2,5,9,9,9,8,9,10,10,10,10,10,1,11.0,4817.0,bn,1.0,6
686047,5.89,0.17,0.53,416.0,28.0,259.0,14.77,0.44,0.36,17.81,4.36,0.96,969386,2017-04-21 09:46:49.930101,2017-04-21 09:46:49.930101,2,5,8,8,9,8,8,11,10,10,10,10,1,11.0,2741.0,bn,1.0,4
685990,6.28,0.12,0.48,364.0,27.0,279.0,14.53,0.69,0.24,14.68,7.98,1.42,969383,2017-04-21 09:42:42.530898,2017-04-21 09:42:42.530898,2,5,9,8,9,8,8,10,11,10,10,10,1,11.0,2741.0,bn,1.0,3
685953,6.2,0.37,0.46,258.0,57.0,363.0,9.0,0.88,0.27,25.6,14.32,2.5,718827,2017-04-21 09:39:41.432435,2017-04-21 09:39:41.432435,2,5,9,9,8,7,9,10,11,10,10,10,1,10.0,2743.0,bn,1.0,5
686202,7.5,1.4,0.68,397.0,65.0,110.0,34.36,0.94,0.83,27.2,7.2,1.58,519308,2017-04-21 09:59:56.199819,2017-04-21 09:59:56.199819,3,6,8,8,8,9,7,10,10,10,10,10,1,10.0,3956.0,bn,1.0,1
685905,7.74,0.2,0.79,511.0,66.0,126.0,18.92,0.72,0.13,16.32,9.67,1.13,886840,2017-04-21 09:36:05.754560,2017-04-21 09:36:05.754560,4,5,7,7,8,9,7,10,11,10,10,10,1,11.0,3951.0,bn,1.0,6
685980,5.6,0.44,0.42,235.0,61.0,390.0,11.0,1.18,0.33,15.7,6.18,1.28,718847,2017-04-21 09:42:02.103208,2017-04-21 09:42:02.103208,2,5,9,9,8,7,8,10,11,10,10,10,1,10.0,2743.0,bn,1.0,5
685932,5.59,0.55,0.59,289.39,10.0,56.22,1.35,0.64,0.64,28.13,14.07,0.43,901279,2017-04-21 09:38:12.296279,2017-04-21 09:38:12.296279,2,5,8,8,9,9,9,10,10,10,10,10,1,11.0,4817.0,bn,1.0,6
686003,7.2,3.2,0.59,335.0,101.0,137.0,40.0,1.24,0.7,34.8,7.92,1.64,521118,2017-04-21 09:43:42.939675,2017-04-21 09:43:42.939675,3,6,8,8,7,9,7,10,10,10,10,10,1,10.0,3956.0,bn,1.0,1
686024,5.7,0.31,0.58,348.0,57.0,363.0,15.0,0.5,0.29,18.34,21.28,1.38,240139,2017-04-21 09:45:09.794526,2017-04-21 09:45:09.794526,2,5,8,8,8,7,7,11,11,10,10,10,1,11.0,2473.0,bn,1.0,4
686044,6.75,0.46,0.45,250.0,141.3,359.7,14.7,1.15,0.96,12.7,2.04,0.81,599765,2017-04-21 09:46:32.128818,2017-04-21 09:46:32.128818,3,5,9,9,7,7,8,10,10,10,10,10,1,10.0,2468.0,bn,1.0,1
569894,5.2,0.15,0.61,270.0,57.0,95.0,18.04,1.45,0.42,18.19,2.13,1.58,853443,2017-03-28 18:29:59.999999,2017-03-28 13:42:51.127984,1,5,8,9,8,9,7,10,10,10,10,10,1,10.0,,bn,1.0,5
569871,5.02,0.07,0.71,320.0,48.0,60.0,5.74,0.87,0.62,19.28,3.34,3.49,853420,2017-03-28 18:29:59.999999,2017-03-28 13:42:44.832085,1,5,8,8,8,9,9,10,10,10,10,10,1,10.0,,bn,1.0,1
569808,5.1,0.08,0.53,248.0,38.0,65.0,11.48,1.13,0.6,18.4,6.12,6.32,853357,2017-03-28 18:29:59.999999,2017-03-28 13:42:26.595479,1,5,8,9,9,9,8,10,10,10,10,10,1,10.0,,bn,1.0,4
569883,4.75,0.06,0.63,260.0,46.0,55.0,16.4,0.95,0.56,12.84,3.65,3.02,853432,2017-03-28 18:29:59.999999,2017-03-28 13:42:47.976880,1,5,8,9,8,9,7,10,10,10,10,10,1,10.0,,bn,1.0,6
686046,5.71,0.46,0.75,434.38,43.35,125.1,1.58,0.81,0.75,26.23,9.26,0.46,901291,2017-04-21 09:46:35.806947,2017-04-21 09:46:35.806947,2,5,7,8,9,9,9,10,10,10,10,10,1,11.0,4817.0,bn,1.0,7
685978,6.1,0.33,0.6,360.0,52.0,363.0,13.0,0.86,0.54,14.06,7.52,1.28,239808,2017-04-21 09:41:53.601838,2017-04-21 09:41:53.601838,2,5,8,8,8,7,8,10,10,10,10,10,1,10.0,2473.0,bn,1.0,5
686109,5.35,0.87,0.58,320.0,59.3,341.2,13.2,1.01,0.78,10.5,1.42,0.59,959856,2017-04-21 09:55:21.365312,2017-04-21 09:55:21.365312,1,5,8,8,8,8,8,10,10,10,10,10,1,10.0,2740.0,bn,1.0,1
569884,5.1,0.12,0.53,248.0,54.0,60.0,15.58,0.92,0.46,11.8,2.61,4.06,853433,2017-03-28 18:29:59.999999,2017-03-28 13:42:48.352204,1,5,8,9,8,9,7,10,10,10,10,10,1,10.0,,bn,1.0,5
658419,6.32,0.95,0.57,299.42,36.68,41.22,2.03,0.74,0.76,27.41,8.09,0.43,901769,2017-04-17 04:40:20.269350,2017-04-17 04:40:20.269350,2,5,8,8,9,9,9,10,10,10,10,10,1,11.0,4817.0,bn,1.0,4
