id,crop_reference_id,nitrogen,phosphorus,potassium,sulphur,zinc,boron,iron,manganese,copper,organic_manure,biofertiliser,lime,gypsum,created_at,updated_at,result_id,mixed_fertilizer_urea,mixed_fertilizer_ssp,mixed_fertilizer_mop,mixed_fertilizer_required
3443,195,17,100,13,,,,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,800 Kg/Acre,,2016-04-15 09:37:10.656109,2016-05-02 06:54:52.449531,1138,11,50,0,31
14468,169,104,150,40,,,0.1 % Disodium octaborate tetrahydrate @250 l/ ha at 3rd week and 500 l /ha at 6th week of sowing ,Ferrous sulfate @ 6  kg/acre ,Spray of 0.5% manganese sulphate solution,,FYM 2 Ton/Acre,Azophos 6 Kg/Acre,400 Kg/Acre,,2016-05-06 08:55:22.036316,2016-05-06 08:55:22.036316,5609,84,0,0,92
14469,168,87,150,47,,,Borax @4 kg / acre at land preparation,Ferrous sulfate @ 6  kg/acre ,Spray of 0.5% manganese sulphate solution,,FYM 2 Ton/Acre,Azophos 6 Kg/Acre,400 Kg/Acre,,2016-05-06 08:55:22.052707,2016-05-06 08:55:22.052707,5609,67,0,7,92
18829,60,52,63,23,,,,,,,FYM 2 Ton/Acre,Azophos 6 Kg/Acre,800 Kg/Acre,,2016-05-11 10:20:16.480746,2016-05-11 10:20:16.480746,7228,44,0,6,39
18212,113,69,75,27,Elemental Sulphur @ 4 kg/acre at land preparation,,,,,,FYM 2 Ton/Acre,Azophos 6 Kg/Acre,,200 Kg/Acre,2016-05-11 08:21:37.252967,2016-05-11 08:21:37.252967,7021,59,0,7,46
3642,61,43,63,17,,,,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:43:35.691901,2016-05-02 06:54:48.598116,1201,35,0,0,39
3641,118,104,125,43,,,,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:43:35.674857,2016-05-02 06:54:48.607355,1201,87,0,10,77
3604,115,43,63,17,,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:29:32.475790,2016-05-02 06:54:49.027430,1189,35,0,0,39
3603,169,104,150,40,,10 kg/ acre at land preparation,0.1 % Disodium octaborate tetrahydrate @250 l/ ha at 3rd week and 500 l /ha at 6th week of sowing ,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:29:32.465203,2016-05-02 06:54:49.036665,1189,84,0,0,92
3595,62,122,188,50,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:25:32.863292,2016-05-02 06:54:49.316796,1185,96,0,0,116
3594,61,43,63,17,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:25:32.845153,2016-05-02 06:54:49.326481,1185,35,0,0,39
3593,115,43,63,17,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:25:32.826674,2016-05-02 06:54:49.335677,1185,35,0,0,39
3592,167,174,375,100,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:25:32.809400,2016-05-02 06:54:49.345189,1185,123,0,0,231
3591,114,113,175,47,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:25:32.791359,2016-05-02 06:54:49.355014,1185,89,0,0,108
3535,60,61,75,23,8 kg/ acre at land preparation,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:07:39.143827,2016-05-02 06:54:50.327582,1168,51,0,3,46
3534,61,43,63,17,4 kg/acre at land preparation,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:07:39.131967,2016-05-02 06:54:50.336689,1168,35,0,0,39
3533,167,174,375,100,8 kg/ acre at land preparation,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:07:39.120069,2016-05-02 06:54:50.345825,1168,123,0,0,231
3532,114,122,163,47,8 kg/ acre at land preparation,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:07:39.102830,2016-05-02 06:54:50.355263,1168,100,0,3,100
3527,60,61,75,23,8 kg/ acre at land preparation,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:05:39.176531,2016-05-02 06:54:50.416304,1165,51,0,3,46
3526,61,43,63,17,4 kg/acre at land preparation,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:05:39.160453,2016-05-02 06:54:50.426175,1165,35,0,0,39
