id,ph,ec,organic_carbon,nitrogen,phosphorus,potassium,sulpher,zinc,boron,iron,manganese,copper,test_id,created_at,updated_at,ph_rating,ec_rating,oc_rating,n_rating,p_rating,k_rating,s_rating,zn_rating,b_rating,fe_rating,mn_rating,cu_rating,mixed_fertilizer_rate_id,zn_rw_rating,user_id,shc_lang_version,distributed,soil_health_cards_count
45209,3.8,0.05,0.65,239.72,75.0,90.0,10.04,0.84,0.13,21.2,4.2,2.83,62662,2016-07-14 18:29:59.999999,2016-07-14 12:58:02.765285,1,5,8,9,8,9,8,10,11,10,10,10,1,11,,bn,1.0,7
45210,3.5,0.03,0.66,243.408,89.0,280.0,13.86,0.86,0.12,16.5,3.86,2.95,62663,2016-07-14 18:29:59.999999,2016-07-14 12:58:03.286783,1,5,8,9,8,8,8,10,11,10,10,10,1,10,,bn,1.0,6
45211,3.4,0.15,0.69,254.472,98.0,245.0,7.95,1.2,0.09,18.2,5.42,1.83,62664,2016-07-14 18:29:59.999999,2016-07-14 12:58:03.673898,1,5,8,9,7,8,9,10,11,10,10,10,1,10,,bn,1.0,6
45212,3.9,0.14,0.35,129.08,75.0,570.0,9.57,1.32,0.03,19.5,6.98,1.46,62665,2016-07-14 18:29:59.999999,2016-07-14 12:58:04.055097,1,5,9,9,8,7,9,10,11,10,10,10,1,10,,bn,1.0,7
45213,3.7,0.42,0.49,180.712,135.0,175.0,5.3,1.24,0.04,16.2,7.2,1.01,62666,2016-07-14 18:29:59.999999,2016-07-14 12:58:04.495947,1,5,9,9,7,9,9,10,11,10,10,10,1,10,,bn,1.0,9
45214,4.0,0.14,0.42,154.896,425.0,205.0,6.96,1.38,0.06,15.4,7.68,2.09,62667,2016-07-14 18:29:59.999999,2016-07-14 12:58:04.954639,1,5,9,9,7,8,9,10,11,10,10,10,1,10,,bn,1.0,10
45215,3.6,0.03,0.36,132.768,315.0,290.0,17.8,1.24,0.07,25.3,6.72,3.18,62668,2016-07-14 18:29:59.999999,2016-07-14 12:58:05.432012,1,5,9,9,7,8,7,10,11,10,10,10,1,10,,bn,1.0,6
45216,4.4,0.05,0.39,143.832,320.0,150.0,15.4,1.24,0.01,20.9,5.46,2.83,62669,2016-07-14 18:29:59.999999,2016-07-14 12:58:05.887221,1,5,9,9,7,9,7,10,11,10,10,10,1,10,,bn,1.0,7
45217,4.1,0.09,0.74,272.912,145.0,150.0,13.75,1.38,0.09,19.2,4.92,1.75,62670,2016-07-14 18:29:59.999999,2016-07-14 12:58:06.316158,1,5,8,9,7,9,8,10,11,10,10,10,1,10,,bn,1.0,7
45218,4.0,0.04,0.9,331.92,125.0,95.0,7.85,1.2,0.4,20.2,3.48,1.62,62671,2016-07-14 18:29:59.999999,2016-07-14 12:58:06.679513,1,5,7,8,7,9,9,10,10,10,10,10,1,10,,bn,1.0,8
45219,3.8,0.03,0.85,313.48,95.0,75.0,14.96,1.2,0.32,16.9,4.95,1.95,62672,2016-07-14 18:29:59.999999,2016-07-14 12:58:07.116544,1,5,7,8,7,9,8,10,11,10,10,10,1,10,,bn,1.0,7
45220,3.9,0.09,0.73,269.224,85.0,125.0,8.39,0.8,0.21,18.5,6.72,2.03,62673,2016-07-14 18:29:59.999999,2016-07-14 12:58:07.601602,1,5,8,9,8,9,9,10,11,10,10,10,1,11,,bn,1.0,7
45221,3.8,0.04,0.72,265.536,175.0,176.0,15.93,2.8,0.02,13.3,5.28,2.43,62674,2016-07-14 18:29:59.999999,2016-07-14 12:58:07.963664,1,5,8,9,7,9,7,10,11,10,10,10,1,10,,bn,1.0,8
45222,4.0,0.06,0.62,228.656,225.0,240.0,16.2,0.68,0.09,19.4,4.92,1.72,62675,2016-07-14 18:29:59.999999,2016-07-14 12:58:08.392679,1,5,8,9,7,8,7,10,11,10,10,10,1,11,,bn,1.0,9
45223,4.0,0.04,0.69,254.472,245.0,120.0,7.85,0.82,0.13,21.2,6.72,1.46,62676,2016-07-14 18:29:59.999999,2016-07-14 12:58:08.839860,1,5,8,9,7,9,9,10,11,10,10,10,1,11,,bn,1.0,8
45224,3.6,0.15,0.75,276.6,325.0,125.0,9.3,0.28,0.1,16.7,7.56,1.05,62677,2016-07-14 18:29:59.999999,2016-07-14 12:58:09.253262,1,5,7,9,7,9,9,11,11,10,10,10,1,11,,bn,1.0,8
45225,3.8,0.22,0.38,140.144,395.0,176.0,10.2,0.64,0.12,18.9,6.92,2.32,62678,2016-07-14 18:29:59.999999,2016-07-14 12:58:09.663885,1,5,9,9,7,9,8,10,11,10,10,10,1,11,,bn,1.0,6
45226,3.5,0.17,0.68,250.784,420.0,115.0,12.35,0.82,0.01,16.7,5.83,2.01,62679,2016-07-14 18:29:59.999999,2016-07-14 12:58:10.067797,1,5,8,9,7,9,8,10,11,10,10,10,1,11,,bn,1.0,7
