0,1,2,3,4,5
3972,ADDA BLOCK-2,000,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3973,Bhanra,046,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3974,Lalbazar,046,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3975,Sidhpur,047,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3976,ADDA BLOCK-3,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3977,Kalikapur,047,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3978,Jamshol,048,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3979,ADDA BLOCK-4,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3980,Sitarampur,048,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3981,ADDA BLOCK-5,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3982,Belrui,049,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3983,Bijoynagar,049,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3984,ADDA BLOCK-6,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3985,Lachipur,050,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3986,Dhasna,050,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3987,Kumardiha,051,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3988,ADDA BLOCK-7,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3989,Bengal Amb. Hou. Devt.,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3990,Neamatpur,052,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3991,Bidhan Nagar (Sec-2A),000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3992,ADDA BLOCK-8,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3993,Tapsi,053,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3994,ADDA BLOCK-9,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3995,Bamandiha,053,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3996,Bidhan Nagar (Sec-2B),000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3997,Alodihi,054,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3998,ADDA BLOCK-10,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
3999,Bidhan Nagar (Sec-2C),000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4000,Methani,055,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4001,ADDA BLOCK-11,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4002,SEPCO,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4003,Joth Janki,055,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4004,Sail Co-op. Hou. Scheme,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4005,Dhasala,056,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4006,ADDA BLOCK-12,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4007,Kamalpur,056,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4008,Urvashi Tship B.A.H.D(MS),000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4009,ADDA BLOCK-13,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4010,Bahadurpur,057,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4011,Mahunara,057,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4012,Herelgoria,057,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4013,Bejadihi,058,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4014,Chakdala,058,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4015,ADDA BLOCK-14,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4016,Urvashi Tship B.A.H.D(MSAV),000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4017,ADDA BLOCK-15,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4018,Paidi,059,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4019,Urvashi Tship B.A.H.D(MWAV),000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4020,Sarakdihi,059,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4021,Urvashi Tship B.A.H.D(MEAY),000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4022,Bhaterdaha,060,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4023,ADDA BLOCK-16,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4024,Chinakuri,060,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4025,Urvashi Tship B.A.H.D(MNAV),000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4026,Batashpur,061,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4027,ADDA BLOCK-17,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4028,Khamarshol,062,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4029,ADDA BLOCK-18,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4030,Urvashi Tship B.A.H.D(MRSL),000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4031,Benashol,063,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4032,ADDA BLOCK-19,000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4033,Urvashi Tship B.A.H.D(CHHAYA),000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4034,Galsi,064,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4035,Urvashi Tship B.A.H.D(SHRI),000,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4036,Bagdiha,064,23,2015-11-04 18:29:29,2015-11-04 18:29:29
4037,ADDA BLOCK-20,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4038,Bhuri,065,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4039,ADDA BLOCK-21,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4040,Urvashi Tship B.A.H.D(UCP),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4041,ADDA BLOCK-66,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4042,Urvashi Tship B.A.H.D(UCU),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4043,Chhatrishganda,067,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4044,ADDA BLOCK-22,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4045,Urvashi Tship ADDA ALLOTE(RA),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4046,Nimsa,068,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4047,Urvashi Tship ADDA ALLOTE(RB),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4048,ADDA BLOCK-23,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4049,ADDA BLOCK-24,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4050,Chichuriya,069,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4051,Urvashi Tship ADDA ALLOTE(RC),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4052,Darbarpur,070,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4053,Dahuka,070,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4054,ADDA BLOCK-25,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4055,Urvashi Tship ADDA ALLOTE(CA),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4056,Urvashi Tship ADDA ALLOTE(GH),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4057,Gomai,071,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4058,ADDA BLOCK-26,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4059,Bamanbandh,071,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4060,Dobrana,072,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4061,ADDA BLOCK-27,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4062,Tetulmuri,072,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4063,Noncompany H.S.residential (A),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4064,Kenda,073,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4065,ADDA BLOCK-28,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
