0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
4312,10614,6403.0,Malda 1 - STL Malda,2016-06-28,5.2,0.1,0.45,265,65,295,3.2,0.09,0.05,2,,,10-26-26,True,09009253521,2016-06-28 12:54:32.853610,2016-06-28 12:54:33.142323
4313,10615,6404.0,Malda 1 - STL Malda,2016-06-28,5.3,0.15,0.43,266,32,335,2,0.07,0.03,2.1,,,10-26-26,True,09009253522,2016-06-28 12:54:33.397952,2016-06-28 12:54:33.722828
4314,10616,6405.0,Malda 1 - STL Malda,2016-06-28,5.4,0.23,0.42,252,45,362,2.5,0.06,0.04,1.9,,,10-26-26,True,09009253523,2016-06-28 12:54:33.947038,2016-06-28 12:54:34.292178
4315,10617,6406.0,Malda 1 - STL Malda,2016-06-28,5.5,0.27,0.6,306,64,375,3,0.1,0.05,2.3,,,10-26-26,True,09009253524,2016-06-28 12:54:34.550197,2016-06-28 12:54:34.826005
4316,10618,6407.0,Malda 1 - STL Malda,2016-06-28,5.6,0.17,0.67,345,77,389,3.8,0.13,0.05,1.9,,,10-26-26,True,09009253525,2016-06-28 12:54:35.068338,2016-06-28 12:54:35.337292
4317,10619,6408.0,Malda 1 - STL Malda,2016-06-28,5.1,0.13,0.64,356,65,469,3.3,0.11,0.05,2.2,,,10-26-26,True,09009253526,2016-06-28 12:54:35.546019,2016-06-28 12:54:35.871647
4318,10620,6409.0,Malda 1 - STL Malda,2016-06-28,4.9,0.14,0.75,525,27,201,3,0.17,0.07,3.9,,,10-26-26,True,09009253527,2016-06-28 12:54:36.181249,2016-06-28 12:54:36.544606
4319,10621,6410.0,Malda 1 - STL Malda,2016-06-28,5.2,0.15,0.67,371,39,295,2,0.13,0.05,3.4,,,10-26-26,True,09009253528,2016-06-28 12:54:36.789493,2016-06-28 12:54:37.033291
4320,10622,6411.0,Malda 1 - STL Malda,2016-06-28,5.3,0.1,0.64,343,42,214,2.4,0.14,0.06,2.8,,,10-26-26,True,09009253529,2016-06-28 12:54:37.220055,2016-06-28 12:54:37.424630
4321,10623,6412.0,Malda 1 - STL Malda,2016-06-28,5.3,0.12,0.3,195,39,228,2.2,0.07,0.03,2,,,10-26-26,True,09009253530,2016-06-28 12:54:37.656684,2016-06-28 12:54:37.947206
4322,10624,6413.0,Malda 1 - STL Malda,2016-06-28,5.4,0.09,0.33,198,42,255,2.8,0.08,0.02,1.5,,,10-26-26,True,09009253531,2016-06-28 12:54:38.203387,2016-06-28 12:54:38.479674
4323,10625,6414.0,Malda 1 - STL Malda,2016-06-28,5.1,0.06,0.37,206,39,308,2.3,0.07,0.03,1.2,,,10-26-26,True,09009253532,2016-06-28 12:54:38.628527,2016-06-28 12:54:38.892723
4324,10626,6415.0,Malda 1 - STL Malda,2016-06-28,5.3,0.08,0.45,245,72,255,2.9,0.06,0.04,1.5,,,10-26-26,True,09009253533,2016-06-28 12:54:39.119005,2016-06-28 12:54:39.421307
4325,10627,6416.0,Malda 1 - STL Malda,2016-06-28,5,0.07,0.52,295,39,281,3,0.08,0.05,1.6,,,10-26-26,True,09009253534,2016-06-28 12:54:39.698953,2016-06-28 12:54:39.990373
4326,10628,6417.0,Malda 1 - STL Malda,2016-06-28,4.9,0.06,0.48,285,45,255,3.1,0.05,0.03,2.2,,,10-26-26,True,09009253535,2016-06-28 12:54:40.245389,2016-06-28 12:54:40.566141
4327,10629,6418.0,Malda 1 - STL Malda,2016-06-28,5.2,0.05,0.67,326,65,255,3.7,0.11,0.04,2.6,,,10-26-26,True,09009253536,2016-06-28 12:54:40.850967,2016-06-28 12:54:41.213655
4328,10630,6419.0,Malda 1 - STL Malda,2016-06-28,5.4,0.09,0.63,334,72,308,3.8,0.14,0.05,2.7,,,10-26-26,True,09009253537,2016-06-28 12:54:41.451416,2016-06-28 12:54:41.600886
4329,10631,6420.0,Malda 1 - STL Malda,2016-06-28,5.6,0.1,0.64,317,19,134,1,0.12,0.06,2.4,,,10-26-26,True,09009253538,2016-06-28 12:54:41.731602,2016-06-28 12:54:41.860236
4330,10632,6421.0,Malda 1 - STL Malda,2016-06-28,5.2,0.13,0.45,245,31,174,1.7,0.09,0.04,2.5,,,10-26-26,True,09009253539,2016-06-28 12:54:42.013427,2016-06-28 12:54:42.426620
4331,10633,6422.0,Malda 1 - STL Malda,2016-06-28,5,0.07,0.43,239,24,362,1.5,0.03,0.03,2.4,,,10-26-26,True,09009253540,2016-06-28 12:54:42.691147,2016-06-28 12:54:42.986762
4332,10634,6423.0,Malda 1 - STL Malda,2016-06-28,4.8,0.06,0.42,238,80,389,4.8,0.06,0.04,2.2,,,10-26-26,True,09009253541,2016-06-28 12:54:43.124493,2016-06-28 12:54:43.317045
4333,10635,6424.0,Malda 1 - STL Malda,2016-06-28,5.3,0.08,0.79,398,65,161,6.1,0.13,0.07,3.6,,,10-26-26,True,09009253542,2016-06-28 12:54:43.519364,2016-06-28 12:54:43.830012
4334,10636,6425.0,Malda 1 - STL Malda,2016-06-28,5.4,0.06,0.75,485,21,174,1.1,0.13,0.08,4.3,,,10-26-26,True,09009253543,2016-06-28 12:54:44.072527,2016-06-28 12:54:44.376600
4335,10637,6426.0,Malda 1 - STL Malda,2016-06-28,5.5,0.07,0.78,493,29,362,2.1,0.14,0.09,3.3,,,10-26-26,True,09009253544,2016-06-28 12:54:44.537418,2016-06-28 12:54:44.688899
4336,10638,6427.0,Malda 1 - STL Malda,2016-06-28,5,0.04,0.4,197,42,375,2,0.1,0.06,1.9,,,10-26-26,True,09009253545,2016-06-28 12:54:44.817049,2016-06-28 12:54:44.959193
4337,10639,6428.0,Malda 1 - STL Malda,2016-06-28,5.1,0.09,0.37,208,45,295,2.4,0.08,0.04,1.6,,,10-26-26,True,09009253546,2016-06-28 12:54:45.078759,2016-06-28 12:54:45.219003
4338,10640,6429.0,Malda 1 - STL Malda,2016-06-28,5.3,0.1,0.4,223,46,255,2.9,0.04,0.03,1.4,,,10-26-26,True,09009253547,2016-06-28 12:54:45.340235,2016-06-28 12:54:45.473457
4339,10641,6430.0,Malda 1 - STL Malda,2016-06-28,5.6,0.13,0.6,365,65,268,2.9,0.12,0.05,3.2,,,10-26-26,True,09009253548,2016-06-28 12:54:45.593033,2016-06-28 12:54:45.757837
4340,10642,6431.0,Malda 1 - STL Malda,2016-06-28,5.5,0.15,0.57,314,77,308,3.6,0.014,0.05,1.9,,,10-26-26,True,09009253549,2016-06-28 12:54:45.879868,2016-06-28 12:54:46.023019
4341,10643,6432.0,Malda 1 - STL Malda,2016-06-28,5.2,0.17,0.55,317,39,335,2.4,0.15,0.06,2.2,,,10-26-26,True,09009253550,2016-06-28 12:54:46.165905,2016-06-28 12:54:46.314035
4342,10644,6433.0,Malda 1 - STL Malda,2016-06-28,5.4,0.1,0.45,260,80,201,5.3,0.16,0.04,1.5,,,10-26-26,True,09009253551,2016-06-28 12:54:46.441486,2016-06-28 12:54:46.590903
4343,10645,6434.0,Malda 1 - STL Malda,2016-06-28,5.2,0.09,0.42,258,65,268,3.9,0.12,0.04,1.4,,,10-26-26,True,09009253552,2016-06-28 12:54:46.727452,2016-06-28 12:54:46.914687
4344,10646,6435.0,Malda 1 - STL Malda,2016-06-28,5.3,0.16,0.33,217,72,295,4.2,0.05,0.04,1.1,,,10-26-26,True,09009253553,2016-06-28 12:54:47.093333,2016-06-28 12:54:47.238434
4345,10647,6436.0,Malda 1 - STL Malda,2016-06-28,5.5,0.05,0.45,259,62,228,3.5,0.09,0.05,2,,,10-26-26,True,09009253554,2016-06-28 12:54:47.352962,2016-06-28 12:54:47.480768
4346,10648,6437.0,Malda 1 - STL Malda,2016-06-28,5,0.04,0.42,285,55,255,2.9,0.08,0.04,1.9,,,10-26-26,True,09009253555,2016-06-28 12:54:47.650106,2016-06-28 12:54:47.815058
4347,10649,6438.0,Malda 1 - STL Malda,2016-06-28,4.8,0.03,0.4,243,77,308,4.2,0.07,0.04,1.5,,,10-26-26,True,09009253556,2016-06-28 12:54:47.956195,2016-06-28 12:54:48.092191
4348,10650,6439.0,Malda 1 - STL Malda,2016-06-28,5.1,0.04,0.37,216,26,228,1.4,0.05,0.03,1.2,,,10-26-26,True,09009253557,2016-06-28 12:54:48.208686,2016-06-28 12:54:48.335569
4349,10651,6440.0,Malda 1 - STL Malda,2016-06-28,5.5,0.07,0.45,248,35,255,2.7,0.09,0.03,1.6,,,10-26-26,True,09009253558,2016-06-28 12:54:48.500665,2016-06-28 12:54:48.771968
4350,10652,6441.0,Malda 1 - STL Malda,2016-06-28,5.6,0.06,0.42,253,72,295,3.9,0.08,0.03,1.7,,,10-26-26,True,09009253559,2016-06-28 12:54:48.900321,2016-06-28 12:54:49.024788
4351,10653,6442.0,Malda 1 - STL Malda,2016-06-28,5.4,0.05,0.45,249,76,174,4.3,0.06,0.04,1.6,,,10-26-26,True,09009253560,2016-06-28 12:54:49.148377,2016-06-28 12:54:49.283600
4352,10654,6443.0,Malda 1 - STL Malda,2016-06-28,4.8,0.06,0.37,227,80,201,5.2,0.08,0.04,1.8,,,10-26-26,True,09009253561,2016-06-28 12:54:49.419039,2016-06-28 12:54:49.576669
4353,10655,6444.0,Malda 1 - STL Malda,2016-06-28,4.8,0.07,0.49,273,24,255,1.7,0.09,0.05,1.4,,,10-26-26,True,09009253562,2016-06-28 12:54:49.738602,2016-06-28 12:54:49.904289
4354,10656,6445.0,Malda 1 - STL Malda,2016-06-28,5.4,0.06,0.42,243,39,295,2.4,0.1,0.03,1.5,,,10-26-26,True,09009253563,2016-06-28 12:54:50.066258,2016-06-28 12:54:50.202099
4355,10657,6446.0,Malda 1 - STL Malda,2016-06-28,5.3,0.08,0.52,285,65,281,3.7,0.11,0.05,1.9,,,10-26-26,True,09009253564,2016-06-28 12:54:50.311508,2016-06-28 12:54:50.429518
4356,10658,6447.0,Malda 1 - STL Malda,2016-06-28,5.1,0.04,0.6,315,77,174,4.2,0.15,0.06,2.4,,,10-26-26,True,09009253565,2016-06-28 12:54:50.551501,2016-06-28 12:54:50.693071
4357,10659,6448.0,Malda 1 - STL Malda,2016-06-28,4.8,0.04,0.6,331,25,214,1.5,0.11,0.05,3,,,10-26-26,True,09009253566,2016-06-28 12:54:50.811720,2016-06-28 12:54:50.978365
4358,10660,6449.0,Malda 1 - STL Malda,2016-06-28,5.2,0.06,0.55,311,16,161,0.5,0.17,0.03,1.8,,,10-26-26,True,09009253567,2016-06-28 12:54:51.230621,2016-06-28 12:54:51.495396
4359,10661,6450.0,Malda 1 - STL Malda,2016-06-28,5.3,0.05,0.45,250,20,201,1.2,0.12,0.04,1.5,,,10-26-26,True,09009253568,2016-06-28 12:54:51.672334,2016-06-28 12:54:51.873926
4360,10662,6451.0,Malda 1 - STL Malda,2016-06-28,5.4,0.07,0.39,220,25,174,1.5,0.05,0.03,1.2,,,10-26-26,True,09009253569,2016-06-28 12:54:52.100667,2016-06-28 12:54:52.457436
4361,10663,6452.0,Malda 1 - STL Malda,2016-06-28,5.5,0.09,0.43,238,16,161,1.2,0.07,0.04,1.4,,,10-26-26,True,09009253570,2016-06-28 12:54:52.741359,2016-06-28 12:54:53.126850
4362,10664,6453.0,Malda 1 - STL Malda,2016-06-28,5.6,0.11,0.37,222,18,147,0.9,0.12,0.03,1.2,,,10-26-26,True,09009253571,2016-06-28 12:54:53.381671,2016-06-28 12:54:53.652440
4363,10665,6454.0,Malda 1 - STL Malda,2016-06-28,5.4,0.07,0.42,240,150,402,7.8,0.15,0.04,1.4,,,10-26-26,True,09009253572,2016-06-28 12:54:53.943649,2016-06-28 12:54:54.140383
4364,10666,6455.0,Malda 1 - STL Malda,2016-06-28,5.6,0.08,0.3,150,18,201,1.5,0.4,0.03,1,,,10-26-26,True,09009253573,2016-06-28 12:54:54.275005,2016-06-28 12:54:54.447236
4365,10667,6456.0,Malda 1 - STL Malda,2016-06-28,5.5,0.09,0.31,148,22,134,1.2,0.2,0.03,1.1,,,10-26-26,True,09009253574,2016-06-28 12:54:54.585585,2016-06-28 12:54:54.722461
4366,10668,6457.0,Malda 1 - STL Malda,2016-06-28,5.1,0.1,0.45,310,17,228,1.3,0.1,0.04,1.5,,,10-26-26,True,09009253575,2016-06-28 12:54:54.836254,2016-06-28 12:54:55.061589
4367,10669,6458.0,Malda 1 - STL Malda,2016-06-28,5.3,0.11,0.42,232,26,201,1.3,0.21,0.04,1.2,,,10-26-26,True,09009253576,2016-06-28 12:54:55.316544,2016-06-28 12:54:55.722876
4368,10670,6459.0,Malda 1 - STL Malda,2016-06-28,5.4,0.13,0.39,214,32,174,2.1,0.19,0.03,1.3,,,10-26-26,True,09009253577,2016-06-28 12:54:55.961435,2016-06-28 12:54:56.113818
4369,10671,6460.0,Malda 1 - STL Malda,2016-06-28,5.2,0.09,0.37,206,40,214,2.3,0.05,0.03,1.2,,,10-26-26,True,09009253578,2016-06-28 12:54:56.249177,2016-06-28 12:54:56.405212
4370,10672,6461.0,Malda 1 - STL Malda,2016-06-28,5.1,0.12,0.34,194,18,255,0.9,0.08,0.03,1.1,,,10-26-26,True,09009253579,2016-06-28 12:54:56.538912,2016-06-28 12:54:56.679005
4371,10673,6462.0,Malda 1 - STL Malda,2016-06-28,5,0.13,0.45,312,35,295,2.4,0.06,0.04,1.5,,,10-26-26,True,09009253580,2016-06-28 12:54:56.855054,2016-06-28 12:54:57.107170
